"Parameter number","ParallelDDE_RK4","Hand-Tuned CPU","Hand-Tuned GPU","OrdinaryDiffEq.jl","OrdinaryDiffEq.jl+unroll","NDSolve"
32,0.013008,0.00339,0.0207,1.7974,0.0695,7.859
128,0.023316,0.014786,0.0215,7.438,0.125,32.25
1024,0.150917,0.091774,0.0215,127.749,0.625,281.515
8192,1.22677,0.685506,0.0233,591.687,8.468,""
18144,2.34428,1.90831,0.0644,"",48.391,""
262144,30.7872,20.6259,0.7814,"","",""
